Location,Population,Highest_Infection_Count,Percent_Population_Infected
Indonesia,278830479,6830274,2.4500
Gabon,2430702,49069,2.0200
Venezuela,28212961,552743,1.9600
Zambia,20152890,349892,1.7400
"East Timor",1369250,23460,1.7100
Zimbabwe,16069010,266425,1.6600
Lesotho,2286067,36140,1.5800
Djibouti,1137052,15690,1.3800
Mauritania,4875590,63890,1.3100
Kyrgyzstan,6955746,88953,1.2800
Bangladesh,169384838,2051739,1.2100
Myanmar,53756739,643266,1.2000
Comoros,834135,9109,1.0900
Rwanda,13650972,133268,0.9800
"Equatorial Guinea",1803496,17130,0.9500
Cambodia,17201662,139326,0.8100
Mozambique,32656190,233909,0.7200
Pakistan,243700616,1580631,0.6500
Kenya,54252404,344135,0.6300
Algeria,45477339,272303,0.6000
Afghanistan,40578801,235214,0.5800
Ghana,33149102,172458,0.5200
Senegal,17651046,89372,0.5100
Uzbekistan,34938911,175118,0.5000
Gambia,2636423,12627,0.4800
Egypt,112618191,516023,0.4600
Guinea-Bissau,2105479,9614,0.4600
"Papua New Guinea",10203130,46864,0.4600
Cameroon,27632723,125309,0.4500
Togo,9089693,39552,0.4400
Malawi,20568683,89168,0.4300
Congo,6035057,25234,0.4200
Burundi,13321056,54569,0.4100
Ethiopia,125384244,501317,0.4000
Uganda,47312665,172177,0.3600
Angola,35634984,107487,0.3000
"Central African Republic",5097987,15475,0.3000
Eritrea,3409407,10189,0.3000
Haiti,11503553,34786,0.3000
Guinea,14055075,38592,0.2700
Syria,22462118,57423,0.2600
Nicaragua,6730618,16328,0.2400
Madagascar,30437216,68678,0.2300
Benin,13759458,28036,0.2000
"South Sudan",11021133,18873,0.1700
Tajikistan,10182185,17786,0.1700
Liberia,5373250,8090,0.1500
Somalia,17801848,27334,0.1500
Mali,23072588,33197,0.1400
Sudan,49383296,63993,0.1300
Nigeria,223150851,267208,0.1200
"Burkina Faso",22508995,22208,0.1000
"Democratic Republic of Congo",102396919,101008,0.1000
"Sierra Leone",8276759,7985,0.1000
Tanzania,64711777,43497,0.0700
Chad,18455270,7702,0.0400
Niger,25311922,9570,0.0400
Yemen,38222833,11945,0.0300
"North Korea",26328793,0,0.0000
Turkmenistan,7230147,0,0.0000
"Cote d'Ivoire",30394949,NULL,NULL
"Hong Kong",7465860,NULL,NULL
Macao,704309,NULL,NULL
Pitcairn,0,4,NULL
Taiwan,23420051,NULL,NULL
"Western Sahara",568702,NULL,NULL
